id,complex
EG11886-MONOMER,
EG11891-MONOMER,
EG11895-MONOMER,
EG11914-MONOMER,
EG11919-MONOMER,
EG11938-MONOMER,
EG11939-MONOMER,
EG11948-MONOMER,
EG11975-MONOMER,CPLX0-7451
EG11977-MONOMER,CPLX0-7451
EG11982-MONOMER,
EG12004-MONOMER,
EG12007-MONOMER,
EG12016-MONOMER,
EG12017-MONOMER,
EG12027-MONOMER,
EG12049-MONOMER,
EG12052-MONOMER,CPLX-9494
EG12054-MONOMER,CPLX-9494
EG12069-MONOMER,
EG12128-MONOMER,
EG12134-MONOMER,
EG12154-MONOMER,
EG12166-MONOMER,
EG12209-MONOMER,CPLX0-8271
EG12214-MONOMER,
EG12217-MONOMER,
EG12220-MONOMER,
EG12224-MONOMER,
EG12231-MONOMER,
EG12240-MONOMER,TRANS-CPLX-204
EG12248-MONOMER,
EG12251-MONOMER,
EG12256-MONOMER,CPLX0-8555
EG12259-MONOMER,CPLX0-8125
EG12260-MONOMER,CPLX0-8125
EG12265-MONOMER,
EG12267-MONOMER,
EG12274-MONOMER,
EG12282-MONOMER,TRANS-CPLX-203
EG12290-MONOMER,
EG12291-MONOMER,
EG12297-MONOMER,
EG12333-MONOMER,
EG12341-MONOMER,
EG12347-MONOMER,CPLX0-8152
EG12375-MONOMER,
EG12376-MONOMER,
EG12385-MONOMER,
EG12387-MONOMER,
EG12434-MONOMER,
EG12436-MONOMER,
EG12445-MONOMER,
EG12455-MONOMER,
EG12691-MONOMER,
EG12707-MONOMER,
EG12708-MONOMER,
EG12709-MONOMER,
EG12713-MONOMER,
EG12799-MONOMER,ABC-45-CPLX
EG12843-MONOMER,
EG12870-MONOMER,
EG12880-MONOMER,
EMRB-MONOMER,CPLX0-2121
EMRD-MONOMER,
EMRE-MONOMER,CPLX0-7963
EMRY-MONOMER,CPLX0-2161
ENTB-MONOMER,
ENTD-MONOMER,
ENTF-MONOMER,
ENVZ-MONOMER,ENVZ-CPLX
EXUT-MONOMER,
FDNI-MONOMER,ALPHA-SUBUNIT-CPLX
FDNI-MONOMER,FORMATEDEHYDROGN-CPLX
FDOG-MONOMER,FORMATEDEHYDROGO-CPLX
FDOI-MONOMER,FORMATEDEHYDROGO-CPLX
FECC-MONOMER,ABC-9-CPLX
FECD-MONOMER,ABC-9-CPLX
