complex,area_full,area_trans,predicted
CPLX0-8125,57.43550923901761,43.26754321903007,0
CPLX0-8125,57.43550923901761,43.26754321903007,0
ABC-45-CPLX,48.79407939394096,7.404794700664525,0
CPLX0-7963,23.780187160740113,18.090647426798526,0
ENVZ-CPLX,15.955031971767715,13.319377609609603,0
ALPHA-SUBUNIT-CPLX,123.64583307966095,32.98854775557908,0
FORMATEDEHYDROGN-CPLX,123.64583307966095,32.98854775557908,0
ABC-11-CPLX,42.628261682219915,30.911896609552123,0
ABC-54-CPLX,35.36482757767115,1.074089052523084,0
FUMARATE-REDUCTASE,38.140715552149125,13.722915348958924,0
FUMARATE-REDUCTASE,38.140715552149125,13.722915348958924,0
CPLX0-8288,35.44596854407345,29.81238404,0
CPLX0-7983,60.90172462,27.94033614335004,0
CPLX0-8551,78.49737113128924,5.497887449,0
CPLX0-7529,127.8002812208884,109.0265203228804,0
TATABCE-CPLX,35.959164444981276,25.40869677710441,0
CPLX0-7654,42.26197562880388,40.62800189,0
CPLX0-8167,66.37212597270208,15.420341482076552,0
FORMHYDROGI-CPLX,66.99550846901779,48.84238978552699,0
ATPASE-1-CPLX,58.87649002827467,38.77579960273246,0
KDPD-CPLX,29.086514745413112,16.165640389929294,0
CPLX0-7819,36.76364158834613,3.620152738,0
CPLX0-7415,42.696412403844285,21.11724975184018,0
TRANS-200-CPLX,95.02280268517615,95.02280268517615,0
TRANS-200-CPLX,95.02280268517615,95.02280268517615,0
ABC-16-CPLX,63.96181658830226,30.07997810037326,0
ABC-16-CPLX,63.96181658830226,30.07997810037326,0
CPLX-165,87.24154074716378,86.13673003485872,0
CPLX0-7921,87.24154074716378,86.13673003485872,0
CPLX-165,87.24154074716378,86.13673003485872,0
CPLX-165,87.24154074716378,86.13673003485872,0
METNIQ-METHIONINE-ABC-CPLX,32.85120724170606,17.705424507958256,0
ATPASE-1-CPLX,58.87649002827467,38.77579960273246,0
CYT-D-UBIOX-CPLX,32.643784859105956,31.023228952910173,0
CPLX0-7982,86.12482030227362,86.12482030227362,0
CPLX-166,46.48570157837422,1.970322161,0
NITRATREDUCTA-CPLX,107.10434080945696,27.85170669734003,0
NITRATREDUCTZ-CPLX,10.149748794902973,6.5489474062585655,0
NARX-CPLX,21.414648667122098,3.1495478981635148,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
CPLX0-3361,88.15997801106676,22.344452780481483,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
CPLX0-3361,88.15997801106676,22.344452780481483,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
CPLX0-3361,88.15997801106676,22.344452780481483,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
CPLX0-3361,88.15997801106676,22.344452780481483,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
CPLX0-3361,88.15997801106676,22.344452780481483,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
CPLX0-3361,88.15997801106676,22.344452780481483,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
CPLX0-8168,26.652510682821244,0.035026507426261726,0
PUTA-CPLX,32.16478413437852,11.785218217569895,0
CPLX0-8097,36.01691315292634,33.16595194339069,0
CPLX0-8160,106.63087271036984,45.67711380044103,0
SUCC-DEHASE,116.73188102636979,40.54230764749331,0
CPLX0-8160,106.63087271036984,45.67711380044103,0
SUCC-DEHASE,116.73188102636979,40.54230764749331,0
CPLX0-8160,106.63087271036984,45.67711380044103,0
SUCC-DEHASE,116.73188102636979,40.54230764749331,0
CPLX0-8089,103.11059409632408,5.339720628655958,0
SECE-G-Y-CPLX,63.25825693657705,0.0,0
